section,table_or_appendix,item,manuscript_value,canonical_file,canonical_field,canonical_value,difference,status,comment
"Preflight","Manuscript source","Exact v28 DOCX","UNAVAILABLE","C:/Users/dreuzy/Downloads","filename search","PyAge_v1.0_revised_v28_code_audit_sync.docx not found","N/A","NOT ASSESSABLE","v23 was found but was not used as a replacement."
"Numerical cross-check","Table 3","All manuscript cells","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","480 machine-readable rows","480 paired noisy cases","N/A","NOT ASSESSABLE","Cell-by-cell comparison requires Table 3 from v28."
"Numerical cross-check","Table 3","Added-noise convention","UNAVAILABLE","C:/pyage-runs/article-v1/tracerlpm/manifest.json","campaign protocol","noise_relative_sd is the added random-noise level; 480 rows cover 1%, 5%, 10%, and 20% groups","N/A","NOT ASSESSABLE","The wording and any 0% baseline cells in v28 cannot be inspected."
"Numerical cross-check","Appendix D","Paired case count","AUDIT BRIEF CLAIM: 480","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","row count","480","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Canonical value confirmed independently; not verified as the actual v28 value."
"Numerical cross-check","Appendix D","Common L2 lower count PyAge / TracerLPM / ties","AUDIT BRIEF CLAIM: 461 / 19 / 0","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","paired comparison of recalculated_relative_l2_objective","461 / 19 / 0","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Tie tolerance 1e-12."
"Numerical cross-check","Appendix D","Common L1 lower count PyAge / TracerLPM / ties","AUDIT BRIEF CLAIM: 111 / 369 / 0","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","paired comparison of recalculated_relative_l1_objective","111 / 369 / 0","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Tie tolerance 1e-12."
"Numerical cross-check","Appendix D","MTT closer PyAge / TracerLPM / ties","AUDIT BRIEF CLAIM: 208 / 272 / 0","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","paired absolute tau error","208 / 272 / 0","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Absolute error to true_tau; tie tolerance 1e-12."
"Numerical cross-check","Appendix D","Second parameter closer PyAge / TracerLPM / ties","AUDIT BRIEF CLAIM: 204 / 233 / 43","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","paired absolute secondary-parameter error","204 / 233 / 43","0 versus audit brief; v28 unavailable","NOT ASSESSABLE","Absolute error to true_secondary; tie tolerance 1e-12."
"Numerical cross-check","Appendix D","Median common L1 PyAge / TracerLPM","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","median recalculated_relative_l1_objective","0.179228060342258 / 0.180858783466857","N/A","NOT ASSESSABLE","Canonical medians independently recomputed from all 480 rows."
"Numerical cross-check","Appendix D","Median common L2 PyAge / TracerLPM","UNAVAILABLE","C:/pyage-runs/article-v1/article_package/tables/table3_pyage_tracerlpm_cases.csv","median recalculated_relative_l2_objective","0.0134959450681502 / 0.0163958229341983","N/A","NOT ASSESSABLE","Canonical medians independently recomputed from all 480 rows."
