model,manuscript_parameter,code_parameter,manuscript_definition,code_definition,source_file,function,test,match,comment
dirac,mu,mu,"Table 1 equation not supplied; repository reference says all mass at age mu","Support {mu}; CDF=I(t>=mu); Q(p)=mu; mean=mu; sd=0; convolution uses an exact point lookup",pyage/lpm/models/dirac.py,"get_dirac_time; cdf; cdf_inv; mean; std",tests/lpm/test_discrete_lpm_analytics.py,NOT_ASSESSABLE,"The pdf() method is only a regularized visualization of the Dirac; no continuous partial-first-moment method is used."
exp,mu,mu,"Table 1 equation not supplied; repository reference says mu is scale and mean","Support [0,infinity); f=exp(-t/mu)/mu; F=1-exp(-t/mu); Q=-mu*ln(1-p); mean=mu; variance=mu^2; M1(t)=mu*gammainc(2,t/mu)",pyage/lpm/models/exponential.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_continuous_partial_moments.py,NOT_ASSESSABLE,"SciPy expon(loc=0,scale=mu)."
exp_shifted,"mu; t0/shift","mu; shift","Table 1 equation not supplied; repository reference says no mass before shift and total mean shift+mu","For x=t-shift>=0: f=exp(-x/mu)/mu; F=1-exp(-x/mu); Q=shift-mu*ln(1-p); mean=shift+mu; sd=mu; M1=shift*F+mu*gammainc(2,x/mu)",pyage/lpm/models/exponential_shifted.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_continuous_partial_moments.py,NOT_ASSESSABLE,"Code parameter is named shift; article scripts rename it t0 in outputs."
ig,"mu; sigma","mu; sigma","mu=physical mean and sigma=physical standard deviation","Support (0,infinity); physical IG density with lambda=mu^3/sigma^2; mean=mu; variance=sigma^2; SciPy shape=(sigma/mu)^2, scale=mu^3/sigma^2, loc=0; CDF/quantile follow that law; exact raw partial moment is implemented analytically",pyage/lpm/models/inverse_gaussian.py,"scipy_params_from_mean_std; cdf_and_partial_first_moment_from_mean_std; _scipy_params",tests/lpm/test_inverse_gaussian_analytics.py,TRUE,"The requested physical convention and SciPy conversion are confirmed exactly."
ig_shifted,"mu; sigma; t0","mu; sigma; shift","t0 is an added minimum age; total mean=t0+mu and sd=sigma","T=shift+X with X physical IG(mu,sigma); support (shift,infinity); PDF/CDF/Q all use SciPy loc=shift; mean=shift+mu; variance=sigma^2; M1_T(t)=shift*F_X(t-shift)+M1_X(t-shift)",pyage/lpm/models/inverse_gaussian_shifted.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_inverse_gaussian_analytics.py,TRUE,"The shift is applied once and to every distributional operation."
gamma,"k; theta/scale","k; scale","Table 1 equation not supplied; repository reference says gamma shape k and scale theta","Support [0,infinity); f=t^(k-1) exp(-t/scale)/(Gamma(k) scale^k); F=P(k,t/scale); SciPy quantile; mean=k*scale; variance=k*scale^2; M1=k*scale*P(k+1,t/scale)",pyage/lpm/models/gamma.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_continuous_partial_moments.py,NOT_ASSESSABLE,"Code calls theta scale."
uniform,"tmin; delta","tmin; delta","Table 1 equation not supplied; repository reference says uniform from tmin to tmin+delta","Support [tmin,tmin+delta]; f=1/delta; clipped linear CDF; Q=tmin+p*delta; mean=tmin+delta/2; variance=delta^2/12; M1=(u^2-tmin^2)/(2 delta), u=clip(t,tmin,tmin+delta)",pyage/lpm/models/uniform.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_continuous_partial_moments.py,NOT_ASSESSABLE,"delta is a width, not the upper endpoint."
weibull,"k; lambda","k; lambda","Table 1 equation not supplied; repository reference says Weibull shape k and scale lambda","Support [0,infinity); f=(k/lambda)(t/lambda)^(k-1)exp(-(t/lambda)^k); F=1-exp(-(t/lambda)^k); Q=lambda[-ln(1-p)]^(1/k); mean=lambda*Gamma(1+1/k); variance=lambda^2[Gamma(1+2/k)-Gamma(1+1/k)^2]; M1=lambda*Gamma(1+1/k)*P(1+1/k,(t/lambda)^k)",pyage/lpm/models/weibull.py,"_scipy_params; cdf_and_partial_first_moment",tests/lpm/test_continuous_partial_moments.py,NOT_ASSESSABLE,"lambda is stored under the literal key lambda and measured in years."
dirac_double,"mu1; mu2; r","mu1; mu2; rate","mu2 is an additional delay after mu1","Atoms are at mu1 and mu1+mu2 with masses rate and 1-rate; CDF is the weighted sum of indicators; Q chooses the first atom for p<=rate; mean=mu1+(1-rate)mu2; sd=sqrt(rate(1-rate))*abs(mu2)",pyage/lpm/models/dirac_double.py,"get_dirac_double_time; cdf; cdf_inv; mean; std",tests/lpm/test_discrete_lpm_analytics.py,TRUE,"The two physical positions requested are exactly mu1 and mu1+mu2. pdf() is a display regularization, not the mathematical delta density."
dirac_double,"unit of mu2","parameter_units['mu2']; params.yaml unit","An additional age delay is in years","The runtime class metadata declares an empty unit for mu2, while data_core/data_lpm/dirac_double/params.yaml declares year and the arithmetic treats it as an age",pyage/lpm/models/dirac_double.py,__init__,tests/lpm/test_lpm_params_yaml.py,FALSE,"BLOCKER: code metadata is internally inconsistent even though the scientific equation is unambiguous. Do not silently choose the blank unit for Table 1."
