manuscript_model,code_class,manuscript_parameters,code_parameters,manuscript_units,code_units,manuscript_formula,code_formula_summary,support_match,mean_match,normalization_match,partial_first_moment_match,tests_found,status,comment
"Dirac / piston flow","DiracLpm","UNAVAILABLE: v28 DOCX not found","mu","UNAVAILABLE","mu: year","UNAVAILABLE","Unit point mass at mu; CDF=1[t>=mu]; Q(p)=mu; mean=mu; sd=0. pdf() is a normalized display regularization while convolution uses the exact Dirac time.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","Dedicated discrete convolution; no continuous partial-first-moment contract","tests/lpm/test_discrete_lpm_analytics.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The code side is assessable, but no Table 1 cell or explanatory text could be read from v28."
"Exponential","ExponentialLpm","UNAVAILABLE: v28 DOCX not found","mu","UNAVAILABLE","mu: year","UNAVAILABLE","f(t)=exp(-t/mu)/mu for t>=0; SciPy expon(loc=0,scale=mu); mean=mu; variance=mu^2; M1(t)=mu*P(2,t/mu).","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_continuous_partial_moments.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The manuscript formula, support and parameter wording are unavailable."
"Inverse Gaussian","InverseGaussianLpm","UNAVAILABLE: v28 DOCX not found","mu; sigma","UNAVAILABLE","mu: year; sigma: year","UNAVAILABLE","Physical mean M=mu and physical sd S=sigma; lambda=M^3/S^2; SciPy shape=(S/M)^2, scale=M^3/S^2, loc=0; support (0,infinity); exact CDF and raw partial first moment.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_inverse_gaussian_analytics.py; tests/lpm/test_continuous_partial_moments.py","NOT ASSESSABLE","Current code convention is confirmed, but its equality to v28 cannot be established."
"Shifted exponential","ExponentialShiftedLpm","UNAVAILABLE: v28 DOCX not found","mu; shift","UNAVAILABLE","mu: year; shift: year","UNAVAILABLE","T=shift+Exp(scale=mu); support [shift,infinity); mean=shift+mu; sd=mu; M1=shift*F+mu*P(2,(t-shift)/mu).","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_continuous_partial_moments.py; tests/convolution/test_convolution_scientific.py","NOT ASSESSABLE","Article outputs call the code parameter shift by t0; v28 wording is unavailable."
"Uniform / linear piston flow","UniformLpm","UNAVAILABLE: v28 DOCX not found","tmin; delta","UNAVAILABLE","tmin: year; delta: year","UNAVAILABLE","Uniform on [tmin,tmin+delta] with delta as width; mean=tmin+delta/2; variance=delta^2/12; exact clipped CDF, PPF and partial first moment.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_continuous_partial_moments.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The support bounds printed in v28 cannot be checked."
"Gamma","GammaLpm","UNAVAILABLE: v28 DOCX not found","k; scale","UNAVAILABLE","k: dimensionless (runtime empty string; YAML --); scale: year","UNAVAILABLE","Gamma shape k and scale theta=scale; support [0,infinity); mean=k*scale; variance=k*scale^2; M1=k*scale*P(k+1,t/scale).","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_continuous_partial_moments.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The notation used by v28 is unavailable; empty string and -- both denote dimensionless code metadata."
"Double Dirac","DiracDoubleLpm","UNAVAILABLE: v28 DOCX not found","mu1; mu2; rate","UNAVAILABLE","mu1: year; mu2: year; rate: dimensionless (runtime empty string; YAML parameter unit omitted)","UNAVAILABLE","Atoms at mu1 and mu1+mu2 with masses rate and 1-rate; mean=mu1+(1-rate)*mu2; sd=sqrt(rate*(1-rate))*abs(mu2); exact right-continuous CDF and generalized quantile.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","Dedicated discrete convolution; no continuous partial-first-moment contract","tests/lpm/test_discrete_lpm_analytics.py; tests/lpm/test_lpm_moments_golden.py","METADATA ISSUE","mu2 is consistently year in the current runtime class and YAML. The remaining issue is the omitted top-level YAML unit for dimensionless rate."
"Shifted inverse Gaussian","InverseGaussianShiftedLpm","UNAVAILABLE: v28 DOCX not found","mu; sigma; shift","UNAVAILABLE","mu: year; sigma: year; shift: year","UNAVAILABLE","T=shift+X with X~IG(physical mean mu, physical sd sigma); support (shift,infinity); total mean=shift+mu; sd=sigma; shifted PDF/CDF/PPF; M1_T=shift*F_X+M1_X.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_inverse_gaussian_analytics.py; tests/lpm/test_continuous_partial_moments.py","NOT ASSESSABLE","Current code applies shift exactly once; v28 cannot be compared."
"Dirac + shifted exponential","MixExponentialShiftedLpm","UNAVAILABLE: v28 DOCX not found","rate; mu1; mu2; shift","UNAVAILABLE","rate: dimensionless; mu1: year; mu2: year; shift: year","UNAVAILABLE","rate*delta(mu1)+(1-rate)*Exp(loc=mu1+shift,scale=mu2); support {mu1} union [mu1+shift,infinity); component masses sum to one; exact full CDF/PPF and normalized continuous partial moment.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_discrete_lpm_analytics.py; tests/convolution/test_convolution_scientific.py","METADATA ISSUE","Runtime rate is dimensionless, but data_core/data_lpm/mix_exp_shifted/params.yaml omits its parameter unit and incorrectly labels prior.unit as year."
"Weibull","WeibullLpm","UNAVAILABLE: v28 DOCX not found","k; lambda","UNAVAILABLE","k: dimensionless; lambda: year","UNAVAILABLE","f=(k/lambda)*(t/lambda)^(k-1)*exp(-(t/lambda)^k) on [0,infinity); mean=lambda*Gamma(1+1/k); standard SciPy CDF/PPF; exact partial first moment.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_continuous_partial_moments.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The k/lambda convention in v28 cannot be checked."
"Shape-free","ShapeFreeNOldBinLpm","UNAVAILABLE: v28 DOCX not found","z1; z2; z3 in the default YAML; number is configuration-dependent","UNAVAILABLE","latent z values: dimensionless; bin edges: year","UNAVAILABLE","Default bounded piecewise-uniform bins [0,20), [20,40), [40,60), [60,200] years. Stick breaking uses vj=logistic(zj), fj=remaining*vj and the final fraction is the remainder; fractions are normalized; final interval is closed on the right.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","tests/lpm/test_shapefree_n_oldbin.py; tests/lpm/test_continuous_partial_moments.py","NOT ASSESSABLE","Both bounded and finite support_open configurations exist; the exact v28 description is unavailable."
"UNKNOWN: possible code-only registered model","DiracDouble1SetLpm","UNAVAILABLE: Table 1 membership cannot be determined","mufree; rate; muset is a constructor setting not managed as a sampled parameter","UNAVAILABLE","mufree: year; rate: dimensionless; muset: year by use","UNAVAILABLE","Two atoms at mufree and muset with masses rate and 1-rate; registered as dirac_double_1_set.","NOT ASSESSABLE","NOT ASSESSABLE","NOT ASSESSABLE","Dedicated discrete convolution","tests/lpm/test_discrete_lpm_analytics.py; tests/lpm/test_lpm_moments_golden.py","NOT ASSESSABLE","The current registry has 12 LPMs whereas the audit brief names 11; v28 is required to decide whether this code-only variant belongs in Table 1."
